scorer,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000
bodyparts,Top,Top,Top,Bottom,Bottom,Bottom,Left,Left,Left,Right,Right,Right
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
23,113.19710540771484,80.5048599243164,0.9999991655349731,90.95510864257812,114.05028533935547,0.9999997615814209,84.04183197021484,85.9920883178711,1.0,116.1630859375,106.77922058105469,0.9999998211860657
24,113.41363525390625,80.5048599243164,0.9999992251396179,90.95510864257812,114.05281066894531,0.9999996423721313,84.49053192138672,85.69221496582031,1.0,116.31153106689453,106.82270812988281,0.9999997615814209
25,113.41363525390625,80.5048599243164,0.9999994039535522,90.95510864257812,114.05281066894531,0.9999997615814209,84.49053192138672,85.66320037841797,1.0,116.73125457763672,106.83218383789062,0.9999997615814209
26,113.33841705322266,80.42120361328125,0.9999995231628418,90.8636245727539,114.10958099365234,0.9999997019767761,84.49053192138672,85.62698364257812,1.0,116.78812408447266,106.83218383789062,0.9999997615814209
27,113.33841705322266,80.32068634033203,0.9999994039535522,90.64765930175781,114.21347045898438,0.9999997019767761,84.28824615478516,85.3719711303711,1.0,116.78812408447266,106.83218383789062,0.9999997615814209
28,113.18262481689453,80.2707290649414,0.9999990463256836,90.61217498779297,114.2891845703125,0.9999995827674866,84.12895202636719,85.3719711303711,1.0,116.78812408447266,106.75320434570312,0.9999997019767761
29,113.06967163085938,80.04058837890625,0.999998927116394,90.44429016113281,114.3004150390625,0.9999996423721313,84.09810638427734,85.3719711303711,1.0,116.78812408447266,106.75320434570312,0.9999997615814209
30,113.04290771484375,79.89168548583984,0.9999989867210388,90.44429016113281,114.3004150390625,0.9999994039535522,84.0697250366211,85.65801239013672,1.0,116.8076400756836,106.73603057861328,0.9999995231628418
31,112.77366638183594,79.89168548583984,0.9999982118606567,90.42170715332031,114.3004150390625,0.9999995827674866,84.09459686279297,85.66275024414062,1.0,117.2174301147461,106.68356323242188,0.9999986886978149
32,112.77366638183594,79.92550659179688,0.9999985694885254,90.44429016113281,114.2891845703125,0.9999995827674866,84.09459686279297,85.68276977539062,1.0,117.2174301147461,106.60478210449219,0.9999985694885254
