scorer,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000
bodyparts,Top,Top,Top,Bottom,Bottom,Bottom,Left,Left,Left,Right,Right,Right
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
40,51.53280258,49.76544952,1,71.5150528,69.63250732,1,54.58449173,68.64167786,1,71.99529266,52.14341736,1
41,51.62747574,49.82041168,1,71.56289673,69.63250732,1,54.6374855,68.67914581,1,72.05127716,52.14653397,1
42,51.6645546,49.82041168,1,71.69447327,69.66192627,1,54.78826904,68.74365234,1,72.05127716,52.43749619,1
43,51.6645546,49.82451248,1,71.69447327,69.66192627,1,54.8115654,68.67914581,1,72.13512421,52.43749619,1
44,51.62747574,49.82451248,1,71.58259583,69.66192627,1,54.8115654,68.67914581,1,72.13512421,52.43749619,1
45,51.62213516,49.83023453,1,71.58259583,69.55474091,1,54.6374855,68.67914581,1,72.09366608,52.34047318,1
46,51.60099411,49.83023453,1,71.58259583,69.55474091,1,54.61667633,68.59486389,1,72.02394867,52.34047318,1
47,51.55017853,49.9213295,1,71.47013092,69.55474091,1,54.53736115,68.59381866,1,72.00736237,52.29017639,1
48,51.50816345,49.9213295,1,71.47013092,69.55474091,1,54.53736115,68.59486389,1,71.93874359,52.18682861,1
49,51.55017853,49.9213295,1,71.4797821,69.72276306,1,54.61667633,68.59486389,1,71.92976379,52.18682861,1
50,51.60099411,50.01280975,1,71.42944336,69.72276306,1,54.65694427,68.59486389,1,71.88327789,52.29017639,1
51,51.79466629,50.01280975,1,71.47074127,69.72276306,1,54.79336929,68.63446045,1,71.88327789,52.29017639,1
52,51.87677002,50.01280975,1,71.4797821,69.56320953,1,54.94772339,68.73755646,1,71.92976379,52.20253754,1
53,51.87677002,50.01280975,1,71.51808167,69.56320953,1,54.97959137,68.73755646,1,71.92976379,52.20253754,1
54,52.02857208,50.01280975,1,71.75160217,69.51311493,1,55.05184174,68.73755646,1,71.98568726,52.44161987,1
55,52.11244965,50.03382874,1,71.75160217,69.53063202,1,55.13140106,68.73755646,1,72.30550385,52.45355225,1
56,52.11244965,50.03382874,1,71.75160217,69.53063202,1,55.13140106,68.72659302,1,72.30550385,52.45355225,1
57,51.83149338,50.12658691,1,71.59350586,69.52845001,1,55.13140106,68.59215546,1,72.30550385,52.57980728,1
